콘텐츠아이디,제목_x,지번주소_x,위도,경도,조회수,좋아요수,리뷰수,북마크수,소셜네트워크공유수,인기점수,읍면,시,관광객수,카드사용금액,관광지개수,콘텐츠분류.1,콘텐츠분류.2,관광지면적,ratio,rank_,읍면동별_관광지면적,오버투어리즘,인구혼잡도,연락처,imgpath,소개
CNTS_000000000019666,중문햇빛펜션,제주특별자치도 서귀포시 안덕면 창천리 39-1,33.2696174,126.3699416,1599,0,0,0,0,3198,안덕면,서귀포시,11308881,142.5,335,숙박,0,876,6.31,0,13056845.1,0.8661266112439368,0,,,
CONT_000000000501040,제주마리나관광호텔,제주특별자치도 제주시 연동 300-8,33.4932864,126.4972969,1613,0,1,0,0,3231,연동,제주시,12933413,347.2,187,숙박,0,882.5,27.7,0,15770385,0.8201076257808544,0,,,
CNTS_000000000001441,보영반점,제주특별자치도 제주시 한림읍 한림리 1305-16,33.416576,126.26521,1699,0,1,6,0,3403,한림읍,제주시,7826109,109.7,270,음식점,1,424,10.03,0,38482491.7,0.2033680423037679,0,,,
CNTS_000000000018270,제주프렌즈펜션,제주특별자치도 제주시 한경면 판포리 2842-4,33.3614954,126.2008492,1764,0,0,0,1,3528,한경면,제주시,3962233,35.7,156,숙박,0,400,12.99,0,4021104.1,0.9853594688085792,0,,,
CONT_000000000500896,방울풍뎅이 하우스,제주특별자치도 서귀포시 남원읍 위미리 809,33.270103,126.673874,1682,0,0,0,0,3364,남원읍,서귀포시,4769707,45.4,171,숙박,0,876,10.06,0,4403900.6,1.0830641817846662,0,,,
CNTS_000000000022713,앙뚜아네트 탑동점,제주특별자치도 제주시 건입동 1441,33.5168663,126.5256918,1726,2,0,3,3,3458,건입동,제주시,2821681,26.4,57,음식점,1,876,29.22,0,118303.2,23.851265223594968,0,,,
CNTS_000000000018395,옛고을갈비,제주특별자치도 제주시 한림읍 한림리 950-1,33.411457,126.266815,1521,0,1,5,0,3047,한림읍,제주시,7826109,109.7,270,음식점,1,1567,10.03,0,38482491.7,0.2033680423037679,0,,,
CNTS_000000000022143,커피림,제주특별자치도 제주시 연동 1315,33.469433,126.4882,1620,0,0,2,0,3240,연동,제주시,12933413,347.2,187,음식점,1,876,27.7,0,15770385,0.8201076257808544,0,,,
CNTS_000000000020165,달사막,제주특별자치도 제주시 조천읍 함덕리 272-28,33.5419672,126.6725058,1661,0,2,3,0,3332,조천읍,제주시,9102603,134.3,300,음식점,1,611,9.52,0,16587189.8,0.5487730658269793,0,,,
CNTS_000000000021496,곽지BAR다,제주특별자치도 제주시 애월읍 곽지리 1581-22,33.44777,126.30465,1575,0,0,6,0,3150,애월읍,제주시,13178838,173.6,403,음식점,1,876,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_000000000022112,(주)리코리스,제주특별자치도 제주시 이호2동 1169-1,33.486584,126.45985,1777,0,0,2,0,3554,이호동,제주시,1987390,19,33,쇼핑,5,684,44.89,0,1336177.2000000002,1.4873700883385823,0,,,
CNTS_000000000019591,에이지하우스,제주특별자치도 서귀포시 표선면 세화리 684-4,33.3357594,126.8060933,1676,0,0,2,1,3352,표선면,서귀포시,5707617,99.4,183,숙박,0,876,8,0,30090733.4,0.1896802222839806,0,,,
CNTS_200000000014386,송악산둘레길,제주특별자치도 서귀포시 대정읍 상모리 131,33.2077142,126.2909893,390,0,0,11,1,780,대정읍,서귀포시,4956729,65.2,171,관광지,2,9025,9.65,0,1397166.1,3.547702023402944,0,,,
CNTS_000000000001275,명물,제주특별자치도 제주시 삼도이동 1167-4,33.5166654,126.517019,1830,0,0,2,2,3660,삼도2동,제주시,2440882,52.1,63,음식점,1,261,68.06,0,660433.3,3.695879659611349,0,,,
CONT_000000000501314,에너벨리,제주특별자치도 제주시 한림읍 한림로 356,33.394806,126.24187,1759,0,0,7,0,3518,한림읍,제주시,7826109,109.7,270,음식점,1,165,10.03,0,38482491.7,0.2033680423037679,0,,,
CNTS_200000000007411,아오리의 행방불명,제주특별자치도 서귀포시 안덕면 서광리 산 24,33.3017501,126.3206458,1613,2,4,6,0,3252,안덕면,서귀포시,11308881,142.5,335,음식점,1,876,6.31,0,13056845.1,0.8661266112439368,0,,,
CNTS_000000000022218,종이비행기,제주특별자치도 제주시 구좌읍 세화리 1477-4,33.524647,126.85994,1401,0,0,1,0,2802,구좌읍,제주시,8197921,87.7,439,음식점,1,2075.9,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_000000000020056,코르소,제주특별자치도 서귀포시 안덕면 창천리 815-7,33.23461,126.366905,1618,0,4,5,0,3236,안덕면,서귀포시,11308881,142.5,335,음식점,1,876,6.31,0,13056845.1,0.8661266112439368,0,,,
CNTS_000000000021305,거드락지민박,제주특별자치도 제주시 한림읍 협재리 2436-3,33.394478,126.241394,1729,0,0,5,0,3458,한림읍,제주시,7826109,109.7,270,숙박,0,407,10.03,0,38482491.7,0.2033680423037679,0,,,
CONT_000000000500863,린앤솔게스트하우스,제주특별자치도 제주시 한경면 고산리 3794-4,33.290707,126.164986,1760,0,1,1,0,3525,한경면,제주시,3962233,35.7,156,숙박,0,640,12.99,0,4021104.1,0.9853594688085792,0,,,
CNTS_000000000018427,해바라기 펜션,제주특별자치도 서귀포시 표선면 세화리 1545,33.30551,126.80104,1806,0,1,0,0,3617,표선면,서귀포시,5707617,99.4,183,숙박,0,244,8,0,30090733.4,0.1896802222839806,0,,,
CONT_000000000500272,빈네오름,제주특별자치도 제주시 애월읍 봉성리,33.3508,126.39407,1028,0,0,0,0,2056,애월읍,제주시,13178838,173.6,403,관광지,2,4545,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_000000000019423,두가시영,제주특별자치도 서귀포시 표선면 하천리 153-1,33.3374683,126.8423582,1767,0,0,2,0,3534,표선면,서귀포시,5707617,99.4,183,음식점,1,499,8,0,30090733.4,0.1896802222839806,0,,,
CNTS_000000000021451,월라봉,제주특별자치도 서귀포시 안덕면 감산리,33.248497,126.35095,1341,0,3,4,1,2697,안덕면,서귀포시,11308881,142.5,335,관광지,2,2754,6.31,0,13056845.1,0.8661266112439368,0,,,
CONT_000000000500307,상여오름,제주특별자치도 제주시 연동 산 60-2,33.465427,126.49169,1765,1,0,0,0,3533,연동,제주시,12933413,347.2,187,관광지,2,252,27.7,0,15770385,0.8201076257808544,0,,,
CNTS_000000000001032,금강민물장어,제주특별자치도 서귀포시 동홍동 640-1,33.25429,126.56952,1837,1,0,0,1,3677,동흥동,서귀포시,899817,19,24,음식점,1,588,16.86,0,232830.1,3.864693611350079,0,,,
CNTS_000000000020057,저팔계깡통연탄구이,제주특별자치도 제주시 조천읍 함덕리 1271,33.5417,126.666756,1661,0,1,12,0,3327,조천읍,제주시,9102603,134.3,300,음식점,1,876,9.52,0,16587189.8,0.5487730658269793,0,,,
CNTS_000000000022137,민준채,제주특별자치도 제주시 한림읍 월령리 349-1,33.377766,126.21604,1811,1,0,4,0,3625,한림읍,제주시,7826109,109.7,270,숙박,0,60,10.03,0,38482491.7,0.2033680423037679,0,,,
CNTS_000000000019143,낭만펜션,제주특별자치도 제주시 도두일동 1852-1,33.5048108,126.472066,1231,0,0,0,0,2462,도두동,제주시,2250484,44.6,46,숙박,0,4334,20.85,0,4430048.8,0.5080043362050549,0,,,
CNTS_000000000018623,우무깨식당,제주특별자치도 제주시 우도면 연평리 2391,33.50994,126.943535,1749,0,1,0,0,3503,우도면,제주시,1710982,31.7,134,음식점,1,876,2.26,0,4055278.5,0.421914796,0,,,
CNTS_200000000007515,차마실,제주특별자치도 제주시 애월읍 하귀1리 137-8,33.4831051,126.4150235,1624,0,0,2,1,3248,애월읍,제주시,13178838,173.6,403,음식점,1,876,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_000000000001128,탐라흑돼지,제주특별자치도 서귀포시 성산읍 성산리 218-14,33.464703,126.93501,1678,0,0,2,0,3356,성산읍,서귀포시,9044676,123,288,음식점,1,882.5,5.8,0,23366366.2,0.3870809830926984,0,,,
CNTS_000000000022550,엘쯔타운펜션,제주특별자치도 제주시 애월읍 유수암리 892-2,33.409441,126.4118394,1634,0,0,0,0,3268,애월읍,제주시,13178838,173.6,403,숙박,0,876,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_000000000022167,커피구십구점구(99.9),제주특별자치도 제주시 노형동 103-5,33.469868,126.48469,1199,0,0,1,0,2398,노형동,제주시,7543251,657.8,135,음식점,1,3662,16.24,0,8329103.7,0.905649788,0,,,
CONT_000000000500245,"병곳오름 (벵곳오름, 안좌오름)",제주특별자치도 서귀포시 표선면 가시리 산 8,33.368008,126.74857,1438,1,2,1,0,2889,표선면,서귀포시,5707617,99.4,183,관광지,2,2727,8,0,30090733.4,0.1896802222839806,0,,,
CONT_000000000500044,걸시오름,제주특별자치도 제주시 연동 산 150,33.41133,126.505455,1192,1,0,0,0,2387,연동,제주시,12933413,347.2,187,관광지,2,3977,27.7,0,15770385,0.8201076257808544,0,,,
CNTS_000000000000664,푸른솔맑은향,제주특별자치도 제주시 노형동 1620-1,33.471752,126.47411,1348,0,0,0,0,2696,노형동,제주시,7543251,657.8,135,숙박,0,2739,16.24,0,8329103.7,0.905649788,0,,,
CNTS_000000000022882,육시우영,제주특별자치도 제주시 애월읍 하가리,33.45789,126.35208,1638,2,0,1,1,3282,애월읍,제주시,13178838,173.6,403,관광지,2,876,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_000000000022387,루스트플레이스 아라점,제주특별자치도 제주시 아라1동 6092-11,33.426136,126.56269,1547,0,0,0,0,3094,아라동,제주시,2434115,25.8,73,음식점,1,2420,9.77,0,15144822.2,0.1607225867597178,0,,,
CNTS_000000000021344,팔도민박,제주특별자치도 서귀포시 대정읍 가파리 694,33.11452,126.26675,1658,0,0,0,0,3316,대정읍,서귀포시,4956729,65.2,171,숙박,0,1448,9.65,0,1397166.1,3.547702023402944,0,,,
CNTS_000000000022405,루스트플레이스 외도점,제주특별자치도 제주시 외도1동 636-6,33.48571,126.43072,1913,0,0,0,1,3826,외도동,제주시,1389162,19,25,음식점,1,248.4,27.5,0,286078.7,4.855873576,0,,,
CONT_000000000500801,꽃향기바다소리,제주특별자치도 제주시 한경면 판포리 1742-2,33.3656,126.20663,1745,0,0,0,5,3490,한경면,제주시,3962233,35.7,156,숙박,0,1009,12.99,0,4021104.1,0.9853594688085792,0,,,
CNTS_000000000022883,산지항 옛터,제주특별자치도 제주시 건입동 940-3 일대,33.516888,126.53469,1468,0,0,0,2,2936,건입동,제주시,2821681,26.4,57,관광지,2,3008,29.22,0,118303.2,23.851265223594968,0,,,
CNTS_000000000021202,컬쳐드,제주특별자치도 제주시 아라2동 3003-10,33.476097,126.5543,1502,0,1,2,0,3009,아라동,제주시,2434115,25.8,73,음식점,1,2752,9.77,0,15144822.2,0.1607225867597178,0,,,
CNTS_000000000022048,북마크하우스&카페,제주특별자치도 서귀포시 대정읍 일과리 1318-3,33.238735,126.23158,1774,0,1,1,1,3553,대정읍,서귀포시,4956729,65.2,171,숙박,0,770,9.65,0,1397166.1,3.547702023402944,0,,,
CNTS_000000000018103,에이티눈호텔,제주특별자치도 제주시 연동 292-30,33.4893618,126.4950589,1687,0,0,2,0,3374,연동,제주시,12933413,347.2,187,숙박,0,945,27.7,0,15770385,0.8201076257808544,0,,,
CONT_000000000501054,제주애,제주특별자치도 서귀포시 성산읍 일주동로 5047,33.385174,126.88017,1789,1,0,1,0,3581,성산읍,서귀포시,9044676,123,288,숙박,0,351,5.8,0,23366366.2,0.3870809830926984,0,,,
CONT_000000000501245,무진장식당,제주특별자치도 제주시 오라일동 2442-10,33.4991108,126.513764,1857,0,0,1,0,3714,오라동,제주시,1447924,26.5,54,음식점,1,597,13.72,0,151570.9,9.552783548821049,0,,,
CONT_000000000500845,뜨리바다펜션,제주특별자치도 서귀포시 남원읍 남원리 2397,33.2715279,126.6997188,1768,0,0,0,0,3536,남원읍,서귀포시,4769707,45.4,171,숙박,0,876,10.06,0,4403900.6,1.0830641817846662,0,,,
CNTS_000000000001428,서우봉가든,제주특별자치도 제주시 조천읍 함덕리 2691-1,33.53723,126.65838,1702,0,0,2,0,3404,조천읍,제주시,9102603,134.3,300,음식점,1,876,9.52,0,16587189.8,0.5487730658269793,0,,,
CNTS_000000000022732,곱을락(음식점),제주특별자치도 제주시 한경면 저지리 3218-1,33.31718,126.26564,1831,0,1,12,0,3667,한경면,제주시,3962233,35.7,156,음식점,1,519,12.99,0,4021104.1,0.9853594688085792,0,,,
CNTS_000000000018204,올레관광호텔,제주특별자치도 제주시 삼도1동 580-31,33.49953,126.52372,1837,0,0,1,0,3674,삼도1동,제주시,593002,19,15,숙박,0,876,99.34,0,121764,4.870092966722512,0,,,
CNTS_000000000019687,제주서울민박,제주특별자치도 서귀포시 남원읍 태흥리 614-3,33.2877269,126.7483291,1809,0,0,0,0,3618,남원읍,서귀포시,4769707,45.4,171,숙박,0,660,10.06,0,4403900.6,1.0830641817846662,0,,,
CONT_000000000501430,홍도니,제주특별자치도 제주시 오라이동 3158,33.4479443,126.5134221,1718,0,0,5,0,3436,오라동,제주시,1447924,26.5,54,음식점,1,1540,13.72,0,151570.9,9.552783548821049,0,,,
CNTS_200000000007128,수타명가,제주특별자치도 제주시 한림읍 귀덕리 2987-2,33.4418195,126.2898558,1729,1,0,4,1,3461,한림읍,제주시,7826109,109.7,270,음식점,1,876,10.03,0,38482491.7,0.2033680423037679,0,,,
CNTS_000000000018874,우도다방 돼지네땅콩손만두,제주특별자치도 제주시 우도면 연평리 1680-1,33.494995,126.95319,1791,1,2,9,1,3595,우도면,제주시,1710982,31.7,134,음식점,1,876,2.26,0,4055278.5,0.421914796,0,,,
CNTS_000000000018110,다이아나호텔,제주특별자치도 제주시 건입동 658-1,33.517826,126.53963,815,1,0,1,0,1633,건입동,제주시,2821681,26.4,57,숙박,0,7251,29.22,0,118303.2,23.851265223594968,0,,,
CNTS_000000000022156,달빛바다,제주특별자치도 제주시 용담3동 1210-5,33.517418,126.49878,1867,0,0,2,1,3734,용담2동,제주시,12013080,177.1,77,숙박,0,394,41.08,0,10212835.2,1.1762727748705866,0,,,
CNTS_000000000021325,배롱개,제주특별자치도 제주시 구좌읍 월정리 648,33.557774,126.794556,1661,0,0,3,0,3322,구좌읍,제주시,8197921,87.7,439,음식점,1,985,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_000000000020680,덕후게스트하우스,제주특별자치도 서귀포시 안덕면 화순리 847-1,33.241215,126.333626,757,0,1,0,0,1519,안덕면,서귀포시,11308881,142.5,335,숙박,0,6873,6.31,0,13056845.1,0.8661266112439368,0,,,
CNTS_000000000020956,어쩌다 여기가 요일가게,제주특별자치도 제주시 구좌읍 세화리 1382,33.52319,126.860855,1378,0,0,8,6,2756,구좌읍,제주시,8197921,87.7,439,쇼핑,5,2776,7.16,0,11479537.6,0.7141333811215532,0,,,
CONT_000000000500218,밝은오름 (명월오름),제주특별자치도 제주시 한림읍 명월로,33.38058,126.27269,1395,0,0,1,0,2790,한림읍,제주시,7826109,109.7,270,관광지,2,3073,10.03,0,38482491.7,0.2033680423037679,0,,,
CNTS_000000000001437,제일식당,제주특별자치도 제주시 추자면 대서리 8-4,33.9636368,126.2972765,1827,0,0,0,0,3654,추자면,제주시,823407,19,101,음식점,1,876,2.18,0,1097795.8,0.7500547916106073,0,,,
CNTS_000000000022755,순심이네한라봉돼지갈비,제주특별자치도 서귀포시 안덕면 산방로 3,33.246075,126.33129,1686,0,0,5,0,3372,안덕면,서귀포시,11308881,142.5,335,음식점,1,1064.3,6.31,0,13056845.1,0.8661266112439368,0,,,
CNTS_000000000021470,협재국수가게(구 청산식당),제주특별자치도 제주시 한림읍 협재리 2514-1,33.39309,126.24046,1871,0,0,4,1,3742,한림읍,제주시,7826109,109.7,270,음식점,1,109,10.03,0,38482491.7,0.2033680423037679,0,,,
CNTS_000000000018680,제주파도소리,제주특별자치도 제주시 구좌읍 하도리 43-1,33.5150151,126.9004638,1792,0,0,1,0,3584,구좌읍,제주시,8197921,87.7,439,숙박,0,250,7.16,0,11479537.6,0.7141333811215532,0,,,
CONT_000000000501385,친구네 분식,제주특별자치도 서귀포시 대정읍 신영로 124-1,33.499622,126.53119,1844,0,0,0,0,3688,대정읍,서귀포시,4956729,65.2,171,음식점,1,627,9.65,0,1397166.1,3.547702023402944,0,,,
CNTS_000000000018436,단추스테이 단추숲,제주특별자치도 제주시 한경면 조수리 2851-3,33.319572,126.20922,1843,0,2,4,0,3696,한경면,제주시,3962233,35.7,156,숙박,0,686,12.99,0,4021104.1,0.9853594688085792,0,,,
CNTS_000000000018691,바다의향기,제주특별자치도 서귀포시 대정읍 상모리 71-8,33.2130528,126.292268,1899,0,0,0,0,3798,대정읍,서귀포시,4956729,65.2,171,숙박,0,291,9.65,0,1397166.1,3.547702023402944,0,,,
CNTS_200000000008009,느지리식식당,제주특별자치도 제주시 한림읍 상명리 1013-1,33.3581504,126.2744255,1762,0,0,4,0,3524,한림읍,제주시,7826109,109.7,270,음식점,1,876,10.03,0,38482491.7,0.2033680423037679,0,,,
CNTS_000000000021275,아이콘펜션,제주특별자치도 제주시 추자면 신양리 606-1,33.942528,126.32128,1803,0,0,0,5,3606,추자면,제주시,823407,19,101,숙박,0,1144,2.18,0,1097795.8,0.7500547916106073,0,,,
CNTS_000000000018466,물메골,제주특별자치도 제주시 애월읍 수산리 795-1,33.47298,126.391335,1699,0,1,5,0,3403,애월읍,제주시,13178838,173.6,403,음식점,1,876,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_000000000000604,캐슬 드 한림,제주특별자치도 제주시 한림읍 한림리 170-3,33.4091379,126.2780616,1736,0,0,1,1,3472,한림읍,제주시,7826109,109.7,270,숙박,0,1064.3,10.03,0,38482491.7,0.2033680423037679,0,,,
CNTS_000000000022176,블랙포엠,제주특별자치도 제주시 조천읍 함덕리 1010-2,33.531406,126.66637,1752,0,1,0,0,3509,조천읍,제주시,9102603,134.3,300,음식점,1,876,9.52,0,16587189.8,0.5487730658269793,0,,,
CONT_000000000501129,허브인휴양펜션,제주특별자치도 제주시 한림읍 귀덕리 2731,33.4356437,126.2902931,1768,0,0,2,2,3536,한림읍,제주시,7826109,109.7,270,숙박,0,876,10.03,0,38482491.7,0.2033680423037679,0,,,
CNTS_200000000009097,유심이감성하우스민박,제주특별자치도 제주시 추자면 영흥리 364-18,33.9567036,126.2969646,1849,1,0,1,2,3701,추자면,제주시,823407,19,101,숙박,0,882.5,2.18,0,1097795.8,0.7500547916106073,0,,,
CONT_000000000500894,바우하우스,제주특별자치도 제주시 구좌읍 하도리 616-1,33.5211612,126.8897271,1390,0,0,0,0,2780,구좌읍,제주시,8197921,87.7,439,숙박,0,2902,7.16,0,11479537.6,0.7141333811215532,0,,,
CONT_000000000501270,살랑살랑샤브샤브,제주특별자치도 제주시 용담3동 1026-9,33.488773,126.49531,1826,0,1,7,0,3657,용담2동,제주시,12013080,177.1,77,음식점,1,876,41.08,0,10212835.2,1.1762727748705866,0,,,
CNTS_000000000020692,초원게스트하우스,제주특별자치도 제주시 우도면 연평리 2278-2,33.51172,126.95203,1837,0,1,3,2,3679,우도면,제주시,1710982,31.7,134,숙박,0,876,2.26,0,4055278.5,0.421914796,0,,,
CNTS_000000000021115,카페백퍼,제주특별자치도 제주시 애월읍 하귀2리 1480,33.4836,126.404076,1593,0,1,4,1,3191,애월읍,제주시,13178838,173.6,403,음식점,1,1607,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_000000000020227,앨리스 카페,제주특별자치도 제주시 이도2동 1188-15,33.49756,126.52962,1885,0,6,6,0,3800,이도2동,제주시,2396297,59.7,92,음식점,1,615,78.99,0,1122941,2.133947375685811,0,,,
CNTS_000000000021320,다래향2호점,제주특별자치도 제주시 구좌읍 세화리 1521-17,33.523914,126.8546,1559,0,0,3,0,3118,구좌읍,제주시,8197921,87.7,439,음식점,1,1873,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_000000000022233,마더카페,제주특별자치도 서귀포시 남원읍 태흥리 1114,33.2809886,126.7413132,1827,0,1,5,0,3659,남원읍,서귀포시,4769707,45.4,171,음식점,1,876,10.06,0,4403900.6,1.0830641817846662,0,,,
CONT_000000000501088,킴스캐빈,제주특별자치도 서귀포시 성산읍 시흥리 1834-1,33.4744091,126.8870595,1741,0,0,3,0,3482,성산읍,서귀포시,9044676,123,288,숙박,0,1064.3,5.8,0,23366366.2,0.3870809830926984,0,,,
CONT_000000000501087,클로버비앤비,제주특별자치도 서귀포시 성산읍 시흥리 1082,33.478205,126.8958421,1853,0,0,0,0,3706,성산읍,서귀포시,9044676,123,288,숙박,0,369,5.8,0,23366366.2,0.3870809830926984,0,,,
CNTS_000000000018883,리치망고우도점,제주특별자치도 제주시 우도면 연평리 317-2,33.4980277,126.9676373,1700,1,5,8,2,3428,우도면,제주시,1710982,31.7,134,음식점,1,1773,2.26,0,4055278.5,0.421914796,0,,,
CNTS_000000000021114,빌라배알로,제주특별자치도 서귀포시 성산읍 고성리 590-2,33.434856,126.916374,1600,0,0,1,1,3200,성산읍,서귀포시,9044676,123,288,숙박,0,2002,5.8,0,23366366.2,0.3870809830926984,0,,,
CNTS_000000000021208,하늘을달리다,제주특별자치도 제주시 구좌읍 하도리 1582,33.520878,126.88717,1707,1,0,3,1,3417,구좌읍,제주시,8197921,87.7,439,숙박,0,1009,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_000000000019690,애월해안누리펜션(구 하얀둥지펜션),제주특별자치도 제주시 애월읍 고내리 459,33.4704594,126.3416719,1659,0,0,0,1,3318,애월읍,제주시,13178838,173.6,403,숙박,0,1301,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_000000000022549,시월애,제주특별자치도 서귀포시 대정읍 무릉리 3815-1,33.2574721,126.191179,1211,0,0,0,0,2422,대정읍,서귀포시,4956729,65.2,171,숙박,0,4820,9.65,0,1397166.1,3.547702023402944,0,,,
CNTS_000000000001162,육값하네식육가든,제주특별자치도 서귀포시 남원읍 의귀리 1177-3,33.29226,126.72196,1809,0,0,5,1,3618,남원읍,서귀포시,4769707,45.4,171,음식점,1,1064.3,10.06,0,4403900.6,1.0830641817846662,0,,,
CNTS_000000000021126,이찌마루,제주특별자치도 제주시 구좌읍 월정리 583-1,33.555485,126.79351,1328,0,0,2,0,2656,구좌읍,제주시,8197921,87.7,439,음식점,1,3424,7.16,0,11479537.6,0.7141333811215532,0,,,
CONT_000000000501215,돈향기,제주특별자치도 제주시 건입동 1384,33.5158029,126.5270908,1945,0,1,12,0,3895,건입동,제주시,2821681,26.4,57,음식점,1,497,29.22,0,118303.2,23.851265223594968,0,,,
CONT_000000000500358,세미소(세미소오름),제주특별자치도 제주시 한림읍 금악리 365-1,33.35579013,126.305615,1874,0,0,2,0,3748,한림읍,제주시,7826109,109.7,270,관광지,2,375.8,10.03,0,38482491.7,0.2033680423037679,0,,,
CNTS_000000000018266,CS빌리지,제주특별자치도 제주시 애월읍 신엄리 2758,33.47845,126.36037,1543,0,0,0,0,3086,애월읍,제주시,13178838,173.6,403,숙박,0,2086,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_000000000021421,고불락하우스,제주특별자치도 제주시 애월읍 고내리 1164-1,33.46674,126.336655,1582,0,0,0,0,3164,애월읍,제주시,13178838,173.6,403,숙박,0,1861,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_000000000021049,솔향,제주특별자치도 제주시 애월읍 곽지리 1380,33.499622,126.53119,1738,0,0,1,0,3476,애월읍,제주시,13178838,173.6,403,음식점,1,876,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_000000000018191,파크사이드호텔,제주특별자치도 제주시 연동 270-1,33.4923991,126.4908271,1785,0,0,1,0,3570,연동,제주시,12933413,347.2,187,숙박,0,876,27.7,0,15770385,0.8201076257808544,0,,,
CNTS_000000000022844,박성내,제주특별자치도 제주시 아라2동 1370-6,33.4849094,126.5439165,1871,1,1,2,1,3750,아라동,제주시,2434115,25.8,73,관광지,2,989,9.77,0,15144822.2,0.1607225867597178,0,,,
CNTS_000000000021009,라바북스,제주특별자치도 서귀포시 남원읍 위미리 3192-5 1층,33.274437,126.6569,1894,1,0,12,1,3791,남원읍,서귀포시,4769707,45.4,171,쇼핑,5,600,10.06,0,4403900.6,1.0830641817846662,0,,,
CNTS_000000000018605,우도향,제주특별자치도 제주시 우도면 연평리 683,33.512173,126.96039,1880,0,0,1,1,3760,우도면,제주시,1710982,31.7,134,음식점,1,876,2.26,0,4055278.5,0.421914796,0,,,
CNTS_000000000018325,타코마씸,제주특별자치도 제주시 구좌읍 월정리 13,33.55505,126.79723,1729,0,2,9,0,3468,구좌읍,제주시,8197921,87.7,439,음식점,1,1009,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_000000000021474,브라운캐빈,제주특별자치도 제주시 애월읍 상가리 54-2,33.41548,126.37527,1824,0,0,0,2,3648,애월읍,제주시,13178838,173.6,403,숙박,0,457,8.59,0,60903578.3,0.2163885664497976,0,,,
CNTS_000000000019076,해변의집,제주특별자치도 제주시 도두일동 1725,33.508289,126.470821,1206,0,0,0,0,2412,도두동,제주시,2250484,44.6,46,숙박,0,5358.2,20.85,0,4430048.8,0.5080043362050549,0,,,
CNTS_000000000018702,아침해변,제주특별자치도 제주시 조천읍 조천리 2996-2,33.5439418,126.6380689,1277,0,0,0,0,2554,조천읍,제주시,9102603,134.3,300,숙박,0,4213,9.52,0,16587189.8,0.5487730658269793,0,,,
CNTS_000000000021483,아모르하우스,제주특별자치도 제주시 구좌읍 종달리 1380,33.50878,126.90189,1671,0,0,1,0,3342,구좌읍,제주시,8197921,87.7,439,숙박,0,1461,7.16,0,11479537.6,0.7141333811215532,0,,,
CNTS_000000000020518,코시롱게스트하우스,제주특별자치도 서귀포시 성산읍 성산리 178-8,33.46319,126.93307,1905,0,2,2,0,3820,성산읍,서귀포시,9044676,123,288,숙박,0,289,5.8,0,23366366.2,0.3870809830926984,0,,,
CNTS_200000000013591,무민랜드,제주특별자치도 서귀포시 안덕면 상천리 470-6,33.3067808,126.3817172,1781,3,0,39,4,3571,안덕면,서귀포시,11308881,142.5,335,관광지,2,876,6.31,0,13056845.1,0.8661266112439368,0,,,
CNTS_000000000022010,조수리 농어촌체험마을,제주특별자치도 제주시 한경면 조수리,33.337276,126.22851,1932,0,0,0,0,3864,한경면,제주시,3962233,35.7,156,관광지,2,603,12.99,0,4021104.1,0.9853594688085792,0,,,
CONT_000000000501106,풍경호텔(풍경관광호텔),제주특별자치도 서귀포시 서홍동 586,33.2639577,126.5507293,1903,0,1,1,0,3811,서흥동,서귀포시,460614,19,50,숙박,0,1064.3,23.58,0,1601680.9,0.2875816275264318,0,,,
CNTS_000000000021490,섭지코지화덕피자,제주특별자치도 서귀포시 성산읍 고성리 204-2,33.43642,126.92064,1363,0,0,0,0,2726,성산읍,서귀포시,9044676,123,288,음식점,1,3792,5.8,0,23366366.2,0.3870809830926984,0,,,
CNTS_200000000007155,씨리얼,제주특별자치도 제주시 한림읍 한림리 1034-1,33.4143016,126.267488,1451,0,0,3,0,2902,한림읍,제주시,7826109,109.7,270,음식점,1,3300,10.03,0,38482491.7,0.2033680423037679,0,,,
CNTS_200000000007530,신 해바라기분식,제주특별자치도 제주시 일도1동 1342-4,33.5141987,126.5260029,1798,0,0,5,0,3596,일도1동,제주시,907667,48.7,24,음식점,1,1783,66.92,0,25857.9,35.10211579439939,0,,,
CNTS_000000000022491,돌빛나예술학교,제주특별자치도 제주시 한림읍 협재리 2190-1,33.38422,126.24817,1839,0,1,2,0,3683,한림읍,제주시,7826109,109.7,270,관광지,2,876,10.03,0,38482491.7,0.2033680423037679,0,,,
